"Gene","PC1"
"gene_19862",0.0190020558976047
"gene_17360",0.0189850060216998
"gene_13489",0.0189663573008017
"gene_15158",0.0187765096868163
"gene_7031",0.0187395400174224
"gene_7019",0.0186574048475874
"gene_10788",0.0186286359817557
"gene_13507",-0.0186240036820405
"gene_6543",0.0185946136950669
"gene_2288",-0.0185921595877325
"gene_223",0.0185744144502693
"gene_9479",0.0185457677789591
"gene_14891",0.0185355128405819
"gene_16974",0.018532460367542
"gene_7017",0.0184970156291474
"gene_936",0.0184862226558862
"gene_13834",0.0184705736359321
"gene_4442",0.0184681510287996
"gene_16928",0.0184585219116124
"gene_1122",0.0184223574549042
