"Gene","PC5"
"gene_7295",0.0255275963360926
"gene_19279",0.0248116662826067
"gene_1545",0.0247466083248074
"gene_11903",0.0239220950005168
"gene_15897",0.023599012053488
"gene_11085",0.0235150892192622
"gene_15161",0.0233684475021776
"gene_17770",0.0231810644478284
"gene_13523",0.0231012935521107
"gene_15896",0.0230726991950585
"gene_15613",0.0229743167365707
"gene_15583",0.0228428057975133
"gene_15895",0.0228217841027451
"gene_9401",0.0227725044459396
"gene_8221",0.0225897617497134
"gene_16393",0.0225837870275295
"gene_14337",0.0225727237297251
"gene_8096",0.0221003914837509
"gene_16432",-0.0220454812600148
"gene_13102",0.0220447831536296
