"Gene","PC2"
"gene_3612",-0.0202731579195483
"gene_1222",0.0198628743596397
"gene_14699",-0.0198620966995614
"gene_1010",0.0198286229874623
"gene_19498",0.0195054770178125
"gene_1113",-0.0194094459183482
"gene_3603",-0.0193460745436461
"gene_364",-0.0192250875690435
"gene_11153",0.0192217924494981
"gene_19866",0.0191334763927991
"gene_9425",-0.0190896982612606
"gene_15282",0.0190800634551753
"gene_16493",-0.019059019838723
"gene_13958",-0.01905837136554
"gene_1532",0.0189999873137957
"gene_6186",0.018991432498971
"gene_2244",-0.0189870140563801
"gene_7538",-0.0189616305266033
"gene_20340",-0.0189515389562434
"gene_6455",0.0189381589126984
