"Gene","PC3"
"gene_1137",0.0211836526076945
"gene_11910",0.0206461890670566
"gene_3737",0.0205764112908504
"gene_9075",0.0205441791935124
"gene_20109",0.020436787617935
"gene_9184",0.0203150880419768
"gene_9175",0.0201770595748368
"gene_15688",0.0201058463039775
"gene_7178",0.0200912187651365
"gene_4456",0.0200361293655023
"gene_9177",0.0200269337986347
"gene_4833",0.01992179768477
"gene_15803",-0.0198301606564124
"gene_13703",0.0197644521961215
"gene_863",0.019742103471892
"gene_9176",0.0196108235866216
"gene_20295",0.0195539805382774
"gene_10361",0.0195464761825775
"gene_14936",-0.0195464397220329
"gene_18191",-0.0194850762079046
